usage_id,session_id,player_id,ability_id,times_used,enemies_defeated,damage_dealt,minutes_equipped
1,1,1001,6,15,15,1905,48
2,1,1001,3,3,3,459,18
3,1,1001,5,13,13,1560,36
4,1,1001,2,4,2,332,24
5,2,1001,1,9,12,1530,58
6,2,1001,1,20,19,2320,63
7,2,1001,1,5,3,445,58
8,2,1001,1,15,11,1365,41
9,2,1001,6,3,3,450,70
10,2,1001,2,10,8,1000,23
11,2,1001,8,17,15,1836,16
12,2,1001,11,5,4,550,64
13,3,1001,2,18,14,1728,40
14,3,1001,10,3,2,357,26
15,3,1001,12,16,19,2352,27
16,3,1001,7,19,14,1691,9
17,3,1001,11,3,3,411,30
18,3,1001,6,12,9,1152,57
19,3,1001,9,18,24,2898,38
20,3,1001,1,5,5,675,33
21,4,1001,1,6,5,600,11
22,4,1001,10,8,8,992,17
23,4,1001,10,3,2,336,7
24,4,1001,6,18,17,2070,5
25,4,1001,6,20,24,2960,3
26,4,1001,4,6,7,930,19
27,4,1001,1,20,28,3440,20
28,4,1001,2,19,13,1615,1
29,5,1001,2,7,10,1246,19
30,5,1001,3,1,1,143,18
31,5,1001,2,10,11,1410,8
32,5,1001,8,13,12,1534,15
33,5,1001,1,2,1,200,15
34,5,1001,3,15,13,1590,11
35,5,1001,6,11,15,1881,11
36,5,1001,7,12,13,1572,5
37,6,1001,1,8,9,1112,8
38,6,1001,2,8,6,784,7
39,6,1001,1,13,17,2054,27
40,6,1001,2,6,6,726,60
41,6,1001,6,11,9,1144,49
42,6,1001,1,17,19,2363,32
43,6,1001,10,16,10,1312,6
44,6,1001,10,17,19,2346,62
45,7,1001,1,10,11,1430,39
46,7,1001,10,16,15,1856,35
47,7,1001,1,4,4,540,9
48,7,1001,10,12,17,2124,26
49,7,1001,2,13,9,1118,37
50,7,1001,5,12,15,1800,19
51,8,1001,7,9,11,1431,16
52,8,1001,1,4,4,520,48
53,8,1001,8,11,13,1661,47
54,8,1001,7,7,9,1099,52
55,8,1001,4,2,1,168,18
56,8,1001,7,16,19,2336,59
57,8,1001,1,17,13,1649,42
58,9,1002,7,10,12,1550,22
59,9,1002,4,17,20,2516,32
60,9,1002,7,10,11,1400,2
61,9,1002,2,4,4,532,20
62,9,1002,8,1,1,156,31
63,9,1002,2,19,24,2907,15
64,9,1002,7,19,22,2679,11
65,9,1002,5,20,29,3580,25
66,10,1002,10,4,3,416,2
67,10,1002,3,14,11,1386,27
68,10,1002,6,14,16,2016,40
69,10,1002,10,2,2,340,9
70,10,1002,5,18,18,2178,43
71,10,1002,3,13,13,1560,12
72,10,1002,3,18,18,2214,35
73,10,1002,2,9,11,1422,31
74,11,1002,2,10,14,1780,19
75,11,1002,7,16,16,1920,31
76,11,1002,2,9,8,1044,8
77,11,1002,6,18,19,2304,26
78,11,1002,8,5,4,585,3
79,11,1002,2,3,3,372,29
80,11,1002,6,16,14,1712,13
81,11,1002,9,9,11,1359,45
82,12,1002,7,8,7,888,4
83,12,1002,6,17,15,1836,15
84,12,1002,1,14,14,1708,31
85,12,1002,1,5,3,400,11
86,12,1002,3,16,18,2256,13
87,12,1002,7,10,10,1210,19
88,12,1002,6,3,4,489,15
89,12,1002,5,2,1,204,27
90,13,1002,8,6,8,1050,19
91,13,1002,10,1,1,118,37
92,13,1002,6,11,10,1276,30
93,13,1002,11,18,22,2646,32
94,13,1002,10,5,6,720,30
95,13,1002,2,4,4,488,11
96,13,1002,7,9,12,1539,12
97,14,1002,6,7,5,714,40
98,14,1002,10,13,14,1742,33
99,14,1002,2,13,17,2145,7
100,14,1002,1,5,5,705,21
101,14,1002,10,1,1,113,25
102,14,1002,2,9,9,1098,20
103,14,1002,6,19,12,1539,17
104,14,1002,6,8,5,696,43
105,15,1002,3,17,24,2890,40
106,15,1002,6,10,10,1270,29
107,15,1002,1,5,5,705,20
108,15,1002,3,20,21,2540,54
109,15,1002,7,16,23,2816,69
110,16,1002,10,3,3,441,29
111,16,1002,5,12,8,1068,37
112,16,1002,1,18,21,2592,13
113,16,1002,6,5,4,505,21
114,16,1002,10,15,11,1410,14
115,16,1002,7,16,12,1456,33
116,16,1002,3,2,2,276,9
117,16,1002,4,15,19,2280,4
118,17,1002,7,13,12,1456,1
119,17,1002,7,19,14,1691,6
120,17,1002,3,3,3,447,8
121,17,1002,10,3,3,420,5
122,17,1002,2,6,8,1068,18
123,17,1002,7,14,14,1778,49
124,18,1002,6,18,14,1746,42
125,18,1002,10,4,3,408,35
126,18,1002,3,5,7,865,63
127,18,1002,2,1,1,176,2
128,19,1003,2,8,7,888,59
129,19,1003,2,9,7,936,15
130,19,1003,1,14,18,2212,3
131,19,1003,2,3,2,276,77
132,19,1003,1,20,27,3320,7
133,19,1003,2,2,2,262,57
134,19,1003,2,7,10,1232,8
135,19,1003,1,10,9,1090,74
136,20,1003,2,5,6,820,67
137,20,1003,2,10,9,1150,8
138,20,1003,5,19,27,3306,23
139,20,1003,6,14,17,2114,64
140,20,1003,1,12,16,1944,86
141,20,1003,2,17,17,2040,54
142,21,1003,1,18,21,2520,16
143,21,1003,10,10,14,1700,10
144,21,1003,8,2,2,302,27
145,21,1003,11,18,22,2646,9
146,21,1003,2,9,7,954,22
147,21,1003,6,15,15,1905,6
148,21,1003,5,7,5,602,18
149,22,1003,8,19,27,3268,18
150,22,1003,1,7,7,854,10
