session_id,player_id,session_date,session_minutes,world_reached
1,1001,2026-05-08,64,5
2,1001,2026-05-25,81,5
3,1001,2026-03-26,61,5
4,1001,2026-07-17,22,1
5,1001,2026-04-02,20,2
6,1001,2026-06-28,62,5
7,1001,2026-04-22,42,3
8,1001,2026-04-01,64,5
9,1002,2026-03-13,35,2
10,1002,2026-02-19,46,2
11,1002,2026-02-25,46,3
12,1002,2026-03-07,32,1
13,1002,2026-05-24,37,1
14,1002,2026-02-02,58,3
15,1002,2026-02-16,74,4
16,1002,2026-05-14,42,1
17,1002,2026-04-13,74,5
18,1002,2026-03-30,63,4
19,1003,2026-05-26,84,5
20,1003,2026-05-07,88,6
21,1003,2026-05-19,34,2
22,1003,2026-05-15,20,1
23,1003,2026-05-17,45,4
24,1003,2026-03-30,48,4
25,1003,2026-07-13,24,2
26,1003,2026-05-29,17,1
27,1004,2026-03-07,66,4
28,1004,2026-03-18,55,2
29,1004,2026-04-20,44,1
30,1004,2026-03-06,49,2
31,1004,2026-06-14,64,3
32,1004,2026-05-11,40,2
33,1005,2026-03-21,55,3
34,1005,2026-04-24,34,3
35,1005,2026-05-05,81,6
36,1005,2026-04-22,28,2
37,1005,2026-03-25,64,3
38,1005,2026-03-15,60,4
39,1005,2026-05-17,72,5
40,1006,2026-04-08,18,1
41,1006,2026-03-05,19,1
42,1006,2026-03-08,52,3
43,1006,2026-05-01,50,4
44,1006,2026-05-20,21,1
45,1006,2026-02-06,61,4
46,1007,2026-05-21,71,3
47,1007,2026-06-02,32,3
48,1007,2026-04-08,69,4
49,1007,2026-03-09,45,3
50,1007,2026-05-02,83,6
51,1007,2026-05-12,22,1
52,1007,2026-03-29,82,4
53,1007,2026-04-24,61,4
54,1007,2026-06-05,81,4
55,1007,2026-05-03,59,4
56,1008,2026-01-06,44,3
57,1008,2026-01-14,34,1
58,1008,2026-04-02,46,3
59,1008,2026-02-03,24,1
60,1008,2026-02-18,69,3
61,1008,2026-02-14,87,6
62,1009,2026-05-24,64,4
63,1009,2026-03-06,43,1
64,1009,2026-04-29,55,2
65,1009,2026-02-26,26,2
66,1009,2026-04-29,43,1
67,1009,2026-03-01,67,5
68,1009,2026-02-16,84,5
69,1009,2026-03-06,85,4
70,1009,2026-02-23,48,3
71,1009,2026-02-19,68,3
72,1010,2026-05-01,66,3
73,1010,2026-05-21,81,5
74,1010,2026-02-17,73,3
75,1010,2026-06-02,88,4
76,1010,2026-03-20,69,4
77,1010,2026-03-09,34,3
78,1010,2026-06-09,60,5
79,1010,2026-04-28,52,3
80,1010,2026-03-28,67,5
81,1010,2026-02-14,56,4
82,1011,2026-04-11,32,2
83,1011,2026-04-16,34,1
84,1011,2026-05-03,40,2
85,1011,2026-04-02,55,3
86,1011,2026-04-07,66,4
87,1011,2026-02-23,48,4
88,1011,2026-06-09,21,1
89,1011,2026-02-26,78,5
90,1012,2026-04-07,61,5
91,1012,2026-01-19,68,3
92,1012,2026-04-19,32,1
93,1012,2026-04-19,16,2
94,1012,2026-04-20,72,3
95,1012,2026-01-29,37,3
96,1012,2026-01-26,68,5
97,1012,2026-03-12,80,5
98,1012,2026-01-12,37,2
99,1013,2026-03-18,32,3
100,1013,2026-03-04,38,3
101,1013,2026-02-18,55,2
102,1013,2026-03-23,24,2
103,1013,2026-05-28,34,2
104,1013,2026-03-18,77,4
105,1013,2026-06-04,48,4
106,1013,2026-05-13,44,2
107,1013,2026-04-10,87,6
108,1013,2026-04-24,48,2
109,1014,2026-05-22,31,3
110,1014,2026-04-06,81,4
111,1014,2026-06-29,65,5
112,1014,2026-03-30,48,2
113,1014,2026-06-19,44,3
114,1014,2026-04-27,86,6
115,1015,2026-06-12,76,4
116,1015,2026-04-12,66,5
117,1015,2026-06-26,78,6
118,1015,2026-04-17,21,2
119,1015,2026-04-24,78,5
120,1015,2026-04-23,68,4
121,1015,2026-05-17,86,6
122,1015,2026-07-13,58,3
123,1015,2026-04-14,27,1
124,1016,2026-06-06,49,4
125,1016,2026-04-16,16,2
126,1016,2026-03-15,83,5
127,1016,2026-03-06,58,3
128,1016,2026-04-04,46,4
129,1016,2026-03-11,76,6
130,1016,2026-04-11,26,2
131,1016,2026-03-23,56,4
132,1016,2026-04-15,78,6
133,1016,2026-04-15,90,6
134,1017,2026-05-30,22,2
135,1017,2026-05-02,60,5
136,1017,2026-04-07,85,6
137,1017,2026-02-22,73,4
138,1017,2026-02-22,88,5
139,1017,2026-04-26,20,1
140,1017,2026-05-12,88,4
141,1017,2026-04-06,34,3
142,1018,2026-04-26,81,5
143,1018,2026-02-27,38,1
144,1018,2026-04-23,44,2
145,1018,2026-05-10,87,4
146,1018,2026-03-17,44,1
147,1018,2026-04-09,16,1
148,1018,2026-05-21,20,2
149,1019,2026-04-18,73,5
150,1019,2026-05-14,20,1
151,1019,2026-06-12,78,4
152,1019,2026-07-14,19,2
153,1019,2026-05-18,82,4
154,1019,2026-06-07,78,6
155,1020,2026-06-02,56,2
156,1020,2026-05-24,34,3
157,1020,2026-04-16,29,1
158,1020,2026-04-17,58,3
159,1020,2026-06-29,54,4
160,1020,2026-05-03,49,2
161,1020,2026-05-02,57,2
162,1020,2026-05-22,36,2
163,1020,2026-06-04,58,4
164,1020,2026-06-08,63,4
165,1021,2026-03-21,89,4
166,1021,2026-04-15,31,1
167,1021,2026-04-02,73,5
168,1021,2026-06-27,50,3
169,1021,2026-06-11,87,5
170,1021,2026-05-27,50,3
171,1021,2026-05-01,64,3
172,1021,2026-05-16,20,1
173,1022,2026-02-21,26,1
174,1022,2026-04-07,64,4
175,1022,2026-06-14,71,5
176,1022,2026-02-18,64,5
177,1022,2026-03-07,19,1
178,1022,2026-04-10,30,1
179,1023,2026-02-26,23,1
180,1023,2026-05-10,63,3
181,1023,2026-02-24,33,3
182,1023,2026-03-29,41,2
183,1023,2026-02-03,28,2
184,1023,2026-05-23,56,2
185,1023,2026-03-28,37,2
186,1023,2026-04-09,44,1
187,1023,2026-05-12,27,1
188,1023,2026-05-20,62,5
189,1024,2026-03-28,20,1
190,1024,2026-02-12,21,1
191,1024,2026-02-12,29,2
192,1024,2026-02-19,67,5
193,1024,2026-01-31,37,3
194,1024,2026-01-23,18,1
195,1024,2026-03-06,60,3
196,1024,2026-04-09,69,4
197,1024,2026-01-19,15,1
198,1025,2026-03-08,51,3
199,1025,2026-05-25,88,4
200,1025,2026-05-08,36,3
201,1025,2026-06-09,83,6
202,1025,2026-04-16,29,1
203,1025,2026-06-01,30,3
204,1025,2026-03-05,89,4
205,1025,2026-04-25,61,5
206,1025,2026-03-15,16,2
207,1026,2026-05-04,77,6
208,1026,2026-06-23,74,3
209,1026,2026-05-15,70,3
210,1026,2026-03-17,90,5
211,1026,2026-03-22,54,2
212,1026,2026-04-09,58,3
213,1026,2026-06-23,24,2
214,1026,2026-05-21,70,5
215,1026,2026-04-15,45,3
216,1026,2026-05-23,37,3
217,1027,2026-06-07,79,4
218,1027,2026-04-09,33,2
219,1027,2026-06-23,35,2
220,1027,2026-05-26,38,3
221,1027,2026-03-15,68,4
222,1027,2026-03-16,62,3
223,1027,2026-04-04,72,3
224,1027,2026-03-05,47,4
225,1027,2026-06-19,48,4
226,1027,2026-04-19,86,5
227,1028,2026-03-22,90,5
228,1028,2026-04-14,63,3
229,1028,2026-04-06,72,4
230,1028,2026-02-22,31,3
231,1028,2026-05-08,74,3
232,1028,2026-03-30,83,4
233,1028,2026-02-19,32,1
234,1028,2026-05-08,71,4
235,1028,2026-03-29,88,5
236,1029,2026-03-26,37,1
237,1029,2026-05-28,44,1
238,1029,2026-06-08,71,5
239,1029,2026-03-27,69,4
240,1029,2026-04-30,85,5
241,1029,2026-04-21,64,5
242,1029,2026-05-13,29,2
243,1029,2026-06-21,89,6
244,1029,2026-05-16,66,5
245,1030,2026-05-28,52,2
246,1030,2026-06-30,31,1
247,1030,2026-06-03,84,6
248,1030,2026-06-27,83,6
249,1030,2026-03-23,56,2
250,1030,2026-05-18,80,6
251,1030,2026-05-02,84,4
252,1030,2026-04-12,89,6
253,1031,2026-04-04,57,2
254,1031,2026-03-04,63,5
255,1031,2026-02-22,78,6
256,1031,2026-04-15,86,5
257,1031,2026-01-24,50,3
258,1031,2026-03-25,45,2
259,1031,2026-04-07,16,1
260,1031,2026-02-03,54,4
261,1031,2026-04-28,23,1
262,1032,2026-03-27,42,1
263,1032,2026-02-07,37,1
264,1032,2026-05-07,82,6
265,1032,2026-02-02,25,1
266,1032,2026-03-21,35,2
267,1032,2026-02-09,24,1
268,1032,2026-02-08,53,4
269,1032,2026-02-05,41,2
270,1032,2026-05-07,16,1
271,1033,2026-06-09,72,5
272,1033,2026-04-18,29,1
273,1033,2026-05-27,88,4
274,1033,2026-04-10,65,5
275,1033,2026-06-01,56,3
276,1033,2026-06-28,71,3
277,1033,2026-05-17,54,3
278,1033,2026-06-22,23,1
279,1034,2026-03-17,28,1
280,1034,2026-03-02,56,4
281,1034,2026-05-08,25,1
282,1034,2026-05-25,18,1
283,1034,2026-05-04,85,4
284,1034,2026-03-11,75,5
285,1034,2026-03-15,34,1
286,1035,2026-04-01,39,2
287,1035,2026-05-28,89,6
288,1035,2026-06-13,67,5
289,1035,2026-03-24,23,2
290,1035,2026-04-02,25,1
291,1035,2026-06-21,20,1
292,1035,2026-03-19,60,4
293,1035,2026-05-30,75,6
294,1035,2026-03-16,31,2
295,1035,2026-06-11,18,1
296,1036,2026-05-01,29,1
297,1036,2026-06-05,39,2
298,1036,2026-05-29,42,2
299,1036,2026-05-18,24,2
300,1036,2026-03-30,61,5
301,1036,2026-07-08,26,1
302,1036,2026-07-23,83,4
303,1037,2026-04-25,47,2
304,1037,2026-04-10,32,3
305,1037,2026-06-13,33,3
306,1037,2026-02-28,83,4
307,1037,2026-02-25,21,1
308,1037,2026-04-01,46,4
309,1038,2026-04-23,80,6
310,1038,2026-03-21,82,4
311,1038,2026-06-02,87,5
312,1038,2026-05-01,40,1
313,1038,2026-06-03,57,2
314,1038,2026-03-13,17,1
315,1039,2026-05-24,48,4
316,1039,2026-06-01,33,2
317,1039,2026-03-09,61,4
318,1039,2026-05-01,85,4
319,1039,2026-06-03,84,6
320,1039,2026-02-24,50,4
321,1040,2026-02-06,15,1
322,1040,2026-01-14,59,4
323,1040,2026-05-05,85,4
324,1040,2026-04-11,39,1
325,1040,2026-05-14,16,1
326,1040,2026-04-04,84,4
327,1040,2026-02-11,64,5
